LC Class,Author,Title,Call Number,,Relation,Creation Date,Modification Date,Edition,Uniform title,Medium Type,Open Access,Language,Availability,Language of cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability (Network),MMS ID,,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork
(OCoLC)1089450848123;(CKB)4100000008352954;(CONSER)--2019264004,"Journal {Journal - Electronic} text; unmediated; volume By Frances Clark Center for Keyboard Pedagogy, (Kingston, New Jersey : Frances Clark Center for Keyboard Pedagogy, 2019-)",The piano magazine : clavier companion.,2643-0673 ,,,06/08/2019 13:26:08 ,07/20/2019 21:39:14 ,,"Piano magazine (Kingston, N.J.)",,,English,"Availability:Electronic version at Education Research Complete (EBSCOhost Education Research Complete): Full Text  
",,,(OCoLC)1089450848123;(CKB)4100000008352954;(CONSER)--2019264004,,2643-0673 ,,,9925390693101661,,0,,,0,9925390693101661,,
(OCoLC)1083525163;(CKB)4100000008392345;(CONSER)--2019201560,"Journal {Journal - Electronic} text; computer; online resource By Acta Odontologica Scandinavica society (Oxford, United Kingdom : Taylor & Francis Group, 2019-)",Biomaterial investigations in dentistry.,2641-5275 ,,,06/08/2019 13:26:08 ,08/22/2019 22:36:41 ,,,,,English,"Availability:Electronic version at Taylor & Francis Open Access: Full Text  
",,,(OCoLC)1083525163;(CKB)4100000008392345;(CONSER)--2019201560,,2641-5275 ,,,9925390692901661,,0,,,0,9925390692901661,,
(OCoLC)1045427863;(CKB)4100000007823763;(CONSER)--2018202345,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc., 2019-)",Perspectives of Earth and Space Scientists.,2637-6989 ,,,04/13/2019 13:04:18 ,06/22/2019 22:35:35 ,,"Perspectives of Earth and Space Scientists (Hoboken, N. J.)",,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1045427863;(CKB)4100000007823763;(CONSER)--2018202345,,2637-6989 ,,,9925390680301661,,0,,,0,9925390680301661,,
(OCoLC)1066240706;(CKB)4100000007823764;(CONSER)--2018203862,"Journal {Journal - Electronic} text; computer; online resource (Weinheim : WILEY-VCH Verlag GmbH & Co. KGaA, 2019-)",Advanced intelligent systems.,2640-4567 ,,,04/13/2019 13:04:18 ,08/19/2019 01:41:39 ,,Advanced intelligent systems (Weinheim an der Bergstrasse (Germany)),,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1066240706;(CKB)4100000007823764;(CONSER)--2018203862,,2640-4567 ,,,9925390680201661,,0,Peer Reviewed,,0,9925390680201661,,
(OCoLC)1090238939;(CKB)4100000008103969;(CONSER)--2019200189,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc., 2019-)",Liver cancer international.,2642-3561 ,,,05/04/2019 13:02:20 ,08/06/2019 20:50:16 ,,,,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1090238939;(CKB)4100000008103969;(CONSER)--2019200189,,2642-3561 ,,,9925390680001661,,0,,,0,9925390680001661,,
(OCoLC)1088892840;(CKB)9870000000002267;(CONSER)--2019200094,"Journal {Journal - Electronic} text; computer; online resource By H-Celebration (Organization) (East Lansing, MI  : H-Net: Humanities & Social Sciences Online, 2019-)",Journal of festive studies.,2641-9939 ,,,06/08/2019 13:26:08 ,08/14/2019 20:53:34 ,,,,,English,"Availability:Electronic version at Free E- Journals: Full Text  
",,,(OCoLC)1088892840;(CKB)9870000000002267;(CONSER)--2019200094,,2641-9939 ,,,9925390606401661,,0,,,0,9925390606401661,,
(DE-599)ZDB2967153-X;(OCoLC)1090456978;(CKB)4100000007510774;(CONSER)--2019263146,"Journal {Journal - Electronic} text; computer; online resource ([London] : Sage Publications, [2019]-)",Developmental child welfare.,2516-1040  and others,,,02/02/2019 11:08:43 ,08/22/2019 22:34:59 ,,,,,English,"Availability:Electronic version at SAGE Premier (SAGE JOURNALS Premier 2019): Full Text  
",,,(DE-599)ZDB2967153-X;(OCoLC)1090456978;(CKB)4100000007510774;(CONSER)--2019263146,,2516-1040  and others,,,9925390197301661,,0,,,0,9925390197301661,,
(OCoLC)1089198828;(CKB)4100000007549128;(CONSER)--2019243041,"Journal {Journal - Electronic} text; computer; online resource ([London] : BioMed Central, [2019]-)",BMC molecular and cell biology.,2661-8850 ,,,02/09/2019 09:27:09 ,08/02/2019 21:22:34 ,,,,Open Access,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at SpringerOpen Free: Full Text  
Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
",,,(OCoLC)1089198828;(CKB)4100000007549128;(CONSER)--2019243041,,2661-8850 ,,,9925388605001661,,0,Peer Reviewed,,0,9925388605001661,,
(CKB)4970000000101783,Journal {Journal - Electronic} (Oxford University Press),Crohn’s & Colitis 360,2631-827X ,,,04/13/2019 13:04:18 ,06/18/2019 22:19:23 ,,,,,English,"Availability:Electronic version at Oxford Journals Open Access Collection: Full Text  
",,,(CKB)4970000000101783,,2631-827X ,,,9925386605601661,,0,Peer Reviewed,,0,9925386605601661,,
(OCoLC)1035844743;(CKB)4100000007462078;(CONSER)--2018200269,"Journal {Journal - Electronic} text; computer; online resource (Washington, D.C. : APA Division 16 (School Psychology), [2019]-)",School psychology.,2578-4226  and others,,,01/12/2019 23:59:10 ,06/14/2019 00:25:30 ,,"School psychology (Washington, D.C. : Online)",,,English,"Availability:Electronic version at PsycARTICLES (EBSCOhost PsycARTICLES): Full Text  
",,,(OCoLC)1035844743;(CKB)4100000007462078;(CONSER)--2018200269,,2578-4226  and others,,,9925386103601661,,0,,,0,9925386103601661,,
(OCoLC)1086616814;(CKB)4100000007823463;(CONSER)--2019243018,"Journal {Journal - Electronic} text; computer; online resource ([Thousand Oaks, CA] : SAGE Publications, [2019]-)",Clinical pathology.,2632-010X ,,,04/13/2019 13:04:18 ,08/02/2019 21:22:45 ,,"Clinical pathology (Thousand Oaks, Ventura County, Calif.)",,Open Access,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
Availability:Electronic version at ProQuest Central (ProQuest Central (New)): Full Text  
Availability:and others",,,(OCoLC)1086616814;(CKB)4100000007823463;(CONSER)--2019243018,,2632-010X ,,,9925385809701661,,0,,,0,9925385809701661,,
(OCoLC)1079908576;(CKB)4920000000029810;(CONSER)--2018202574,"Journal {Journal - Electronic} text; computer; online resource ([London, United Kingdom] : Taylor & Francis, [2019]-)",Sexual and reproductive health matters.,2641-0397  and others,,,04/13/2019 13:04:18 ,08/22/2019 22:36:43 ,,,,,English,"Availability:Electronic version at Taylor & Francis Open Access: Full Text  
",,,(OCoLC)1079908576;(CKB)4920000000029810;(CONSER)--2018202574,,2641-0397  and others,,,9925385782701661,,0,,,0,9925385782701661,,
(OCoLC)1037272162;(CKB)4100000005679402;(CONSER)--2018201633,"Journal {Journal - Electronic} text; computer; online resource By Schwartz, M. W. (Hoboken, New Jersey : John Wiley & Sons, Inc., 2019-)",Conservation science and practice.,2578-4854 ,,,08/15/2018 03:22:18 ,06/14/2019 00:54:58 ,,,,Open Access,English,"Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1037272162;(CKB)4100000005679402;(CONSER)--2018201633,,2578-4854 ,,,9925385689801661,,0,,,0,9925385689801661,,
(OCoLC)1034987296;(CKB)4100000005183159;(CONSER)--2018200254,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New York  : John Wiley & Sons Inc. 2019-)",International journal of ceramic engineering & science.,2578-3270 ,,,07/10/2018 22:04:39 ,08/22/2019 22:35:07 ,,,,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1034987296;(CKB)4100000005183159;(CONSER)--2018200254,,2578-3270 ,,,9925385646501661,,0,,,0,9925385646501661,,
(OCoLC)1084735294;(CKB)4100000007823722;(CONSER)--2019200008,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc)",Genetics & genomics next.,2641-6573 ,,,04/13/2019 13:04:18 ,06/18/2019 20:19:58 ,,Genetics & genomics next (Online),,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1084735294;(CKB)4100000007823722;(CONSER)--2019200008,,2641-6573 ,,,9925385645601661,,0,Peer Reviewed,,0,9925385645601661,,
(OCoLC)1084728688;(CKB)4100000007823721;(CONSER)--2019200006,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc., 2019-)",Neuroscience next.,2641-6557 ,,,04/13/2019 13:04:18 ,06/18/2019 20:19:59 ,,,,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1084728688;(CKB)4100000007823721;(CONSER)--2019200006,,2641-6557 ,,,9925385645501661,,0,Peer Reviewed,,0,9925385645501661,,
(OCoLC)1038532272;(CKB)4100000005679401;(CONSER)--2018201635,"Journal {Journal - Electronic} text; computer; online resource By John Wiley & Sons, Ltd. (Hoboken, New Jersey : John Wiley & Sons Inc. 2019-)",ACR open rheumatology.,2578-5745 ,,,08/15/2018 03:22:18 ,08/02/2019 21:23:09 ,,,,Open Access,English,"Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1038532272;(CKB)4100000005679401;(CONSER)--2018201635,,2578-5745 ,,,9925385644901661,,0,Peer Reviewed,,0,9925385644901661,,
(OCoLC)1043358118;(CKB)4100000005679403;(CONSER)--2018202233,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc., 2019-)",Paediatric and neonatal pain.,2637-3807 ,,,08/15/2018 03:22:18 ,04/22/2019 08:02:40 ,,,,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1043358118;(CKB)4100000005679403;(CONSER)--2018202233,,2637-3807 ,,,9925385644801661,,0,,,0,9925385644801661,,
(OCoLC)1044733572;(CKB)4100000005679405;(CONSER)--2018202308,"Journal {Journal - Electronic} text; computer; online resource (Hoboken,  New Jersey  : John Wiley & Sons Inc., 2019-)",Environmental DNA.,2637-4943 ,,,08/15/2018 03:22:18 ,08/06/2019 21:21:13 ,,"Environmental DNA (Hoboken, N.J.)",,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1044733572;(CKB)4100000005679405;(CONSER)--2018202308,,2637-4943 ,,,9925385644701661,,0,,,0,9925385644701661,,
(OCoLC)1031092093;(CKB)4100000005679399;(CONSER)--2018201585,"Journal {Journal - Electronic} text; computer; online resource (Hoboken, New Jersey  : John Wiley & Sons, Inc)",Engineering reports.,2577-8196 ,,,08/15/2018 03:22:18 ,05/24/2019 00:23:49 ,,"Engineering reports (Hoboken, N.J.)",,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1031092093;(CKB)4100000005679399;(CONSER)--2018201585,,2577-8196 ,,,9925385644401661,,0,,,0,9925385644401661,,
(OCoLC)1019909322;(CKB)4100000007111205;(CONSER)--2018201149,"Journal {Journal - Electronic} text; computer; online resource By John Wiley & Sons. (Hoboken, New Jersey : John Wiley & Sons Inc.)",AGU advances.,2576-604X ,,,11/14/2018 02:48:20 ,06/14/2019 00:25:28 ,,,,,English,"Availability:Electronic version at Wiley Online Library Open Access: Full Text  
",,,(OCoLC)1019909322;(CKB)4100000007111205;(CONSER)--2018201149,,2576-604X ,,,9925385644301661,,0,,,0,9925385644301661,,
(OCoLC)1089848154;(CKB)4100000007590124;(CONSER)--2019243116,"Journal {Journal - Electronic} text; computer; online resource ([Amsterdam] : Elsevier B.V., [2019]-)",European journal of obstetrics & gynecology and reproductive biology: X.,2590-1613 ,,,02/14/2019 22:25:11 ,08/22/2019 22:36:37 ,,,,Open Access,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
Availability:Electronic version at Elsevier ScienceDirect ArticleChoice (PDFs via email within 24 hours) (Elsevier ScienceDirect Journals): Full Text  
Availability:and others",,,(OCoLC)1089848154;(CKB)4100000007590124;(CONSER)--2019243116,,2590-1613 ,,,9925384359101661,,0,Peer Reviewed,,0,9925384359101661,,
(OCoLC)1090453843;(CKB)4100000007810188;(CONSER)--2019243057,"Journal {Journal - Electronic} text; unmediated; volume By Han'guk Ch'uksan Sikp'um Hakhoe. (Seoul, Korea : Korean Society for Food Science of Animal Resources, [2019]-)",Food science of animal resources.,2636-0780  and others,,,03/23/2019 14:25:20 ,06/14/2019 00:25:21 ,,,,,English,"Availability:Electronic version at PubMed Central: Full Text  
",,,(OCoLC)1090453843;(CKB)4100000007810188;(CONSER)--2019243057,,2636-0780  and others,,,9925384353201661,,0,,,0,9925384353201661,,
(OCoLC)1089841025;(CKB)4100000007810189;(CONSER)--2019243039,"Journal {Journal - Electronic} text; computer; online resource By D_nishg_h-i _Ul_m-i Pizishk_ va Khadam_t-i Bihd_sht_-Darm_n_-i Shah_d Bihisht_, ([Tehran] : Shahid Beheshti University of Medical Sciences, [2019]-)",Archives of academic emergency medicine.,2645-4904 ,,,03/23/2019 14:25:20 ,08/02/2019 21:22:42 ,,,,Open Access,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
",,,(OCoLC)1089841025;(CKB)4100000007810189;(CONSER)--2019243039,,2645-4904 ,,,9925384353101661,,0,Peer Reviewed,,0,9925384353101661,,
(OCoLC)1086619397;(CKB)4100000007549127;(CONSER)--2019243020,"Journal {Journal - Electronic} text; computer; online resource (Cham, Switzerland : Springer Nature, [2019]-)",BMC chemistry.,2661-801X ,,,02/09/2019 09:27:09 ,08/06/2019 21:21:18 ,,,,Open Access,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at SpringerOpen Free: Full Text  
Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
Availability:and others",,,(OCoLC)1086619397;(CKB)4100000007549127;(CONSER)--2019243020,,2661-801X ,,,9925381667701661,,0,Peer Reviewed,,0,9925381667701661,,
(OCoLC)1015952547;(CKB)4100000005480511;(CONSER)--2017219869,"Journal {Journal - Electronic} text; computer; online resource By Institute of Electrical and Electronics Engineers. (Piscataway, NJ : IEEE)",IEEE journal on miniaturization for air and space systems.,2576-3164 ,,,08/15/2018 03:22:18 ,03/05/2019 03:42:37 ,,,,,English,"Availability:Electronic version at IEEE Xplore ASPP 2005: Full Text  
",,,(OCoLC)1015952547;(CKB)4100000005480511;(CONSER)--2017219869,,2576-3164 ,,,9925381609801661,,0,,,0,9925381609801661,,
(OCoLC)1015951578;(CKB)4100000005480512;(CONSER)--2017219868,"Journal {Journal - Electronic} text; computer; online resource By Institute of Electrical and Electronics Engineers. (Piscataway, NJ : IEEE)",IEEE networking letters.,2576-3156 ,,,08/15/2018 03:22:18 ,03/05/2019 03:42:39 ,,,,,English,"Availability:Electronic version at IEEE Xplore ASPP 2005: Full Text  
",,,(OCoLC)1015951578;(CKB)4100000005480512;(CONSER)--2017219868,,2576-3156 ,,,9925381609701661,,0,,,0,9925381609701661,,
(OCoLC)1045069709;(CKB)4100000005963620;(CONSER)--2018202356;(DE-599)ZDB2960150-2,"Journal {Journal - Electronic} text; computer; online resource By Institute of Electrical and Electronics Engineers. (Piscataway, NJ  : Institute of Electrical and Electronics Engineers, 2019-)","IEEE transactions on biometrics, behavior, and identity science.",2637-6407 ,,,09/01/2018 10:45:54 ,06/18/2019 20:13:44 ,,,,,English,"Availability:Electronic version at IEEE Xplore ASPP 2005: Full Text  
",,,(OCoLC)1045069709;(CKB)4100000005963620;(CONSER)--2018202356;(DE-599)ZDB2960150-2,,2637-6407 ,,,9925381609601661,,0,,,0,9925381609601661,,
(OCoLC)1081037791,"Journal {Journal - Electronic} text; computer; online resource (Oslo, Noruega : Akademia Forlag 2019-)",HECHOS : una perspectiva pneumatologica.,2535-6410 ,,,01/14/2019 06:52:38 ,01/27/2019 22:46:31 ,,,,,Spanish,"Availability:Electronic version at Free E- Journals: Full Text  
",English,,(OCoLC)1081037791,,2535-6410 ,,,9925360801301661,,0,,,0,9925360801301661,,
(OCoLC)1100060627;(CKB)4100000007205197;(CONSER)--2019243109,"Journal {Journal - Electronic} text; computer; online resource ([London] : Elsevier Ltd., [2019]-)",Vaccine : X.,2590-1362 ,,,12/22/2018 10:03:31 ,08/14/2019 20:52:22 ,,,,,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at Elsevier ScienceDirect ArticleChoice (PDFs via email within 24 hours) (Elsevier ScienceDirect Journals): Full Text  
Availability:Electronic version at Elsevier ScienceDirect Journals Complete: Full Text  
",,,(OCoLC)1100060627;(CKB)4100000007205197;(CONSER)--2019243109,,2590-1362 ,,,9925359398001661,,0,Peer Reviewed,,0,9925359398001661,,
(OCoLC)1084231650;(CKB)4100000007205198;(CONSER)--2019243112,"Journal {Journal - Electronic} text; computer; online resource ([New York] : Elsevier Inc., [2019]-)",World neurosurgery: X.,2590-1397 ,,,12/22/2018 10:03:31 ,08/22/2019 22:34:42 ,,,,Open Access,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
Availability:Electronic version at Elsevier ScienceDirect ArticleChoice (PDFs via email within 24 hours) (Elsevier ScienceDirect Journals): Full Text  
Availability:and others",,,(OCoLC)1084231650;(CKB)4100000007205198;(CONSER)--2019243112,,2590-1397 ,,,9925359397901661,,0,Peer Reviewed,,0,9925359397901661,,
