Author,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform title,Medium Type,Open Access,Language,Availability,Language of cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability (Network),MMS ID,,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork
"Book - Physical;  By MEHRA, NISHTA J. ([S.l.] : PICADOR 2020.)",,,,"BROWN WHITE BLACK : an american family at the intersection of race, gender, sexuality, and... religion.",,9/18/19 8:54,9/18/19 8:54,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS  (1 copy, 0 available)
",English,9781250295712  and others,(OCoLC)1099207321;(OCoLC)on1099207321,9781250295712  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Cristiano, Anthony, (Abingdon, Oxon ; Routledge, 2020.)",,Generation Y.   Digital media. ,Routledge research in cultural and media studies.,"Millenials and media ecology : culture, pedagogy, and politics / edited by Anthony Cristiano and Ahmet Atay.",,9/18/19 8:54,9/18/19 8:54,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; HQ799.5 .M54 2020  (1 copy, 0 available)
",English,9780367200251  and others,(OCoLC)1104858473;(OCoLC)on1104858473,9780367200251  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Horrow, Richard B., (Champaign, Il : Human Kinetics, [2020])",,Sports--Economic aspects.   Sports administration. ,,"The sport business handbook : insights from 100+ leaders who shaped 50 years of the industry / Rick Horrow, editor ; with Rick Burton, Myles Schrag.",,9/18/19 8:54,9/18/19 8:54,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; GV716 .S5854 2020  (1 copy, 0 available)
",English,9781492543107  and others,(OCoLC)1080249071;(OCoLC)on1080249071,9781492543107  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Kuther, Tara L., (Thousand Oaks, California : SAGE Publications, Inc., [2020])",,"Psychology--Study and teaching (Higher)   Psychology--Vocational guidance.   Psychology, Applied--Vocational guidance. ",,The psychology major's handbook / Tara L. Kuther.,,9/18/19 8:54,9/18/19 8:54,Fifth edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; BF77 .K855 2020  (1 copy, 0 available)
",English,9781544359465  and others,(OCoLC)1051776696;(OCoLC)on1051776696,9781544359465  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;  By SHAFAK, ELIF. ([S.l.] : BLOOMSBURY 2020.)",,,,10 MINUTES 38 SECONDS IN THIS STRANGE WORLD.,,9/12/19 7:28,9/12/19 7:28,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS  (1 copy, 0 available)
",English,9781635574470  and others,(OCoLC)1108212677;(OCoLC)on1108212677,9781635574470  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Clikeman, Paul M., (London ; Routledge, [2020])",,Accounting fraud--United States.   Corporations--Corrupt practices--Accounting.--United States   Accounting--Standards--United States.  and others,,Called to account : financial frauds that shaped the accounting profession / Paul M. Clikeman.,,6/21/19 10:11,9/9/19 4:19,Third edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-83078-5  and others,(CKB)4100000008403171;(MiAaPQ)EBC5785753,9780429830785  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Chun, Edna Breinig, (New York ; Routledge, Taylor & Francis Group, 2020.)",,Discrimination in higher education.   Educational equalization.   Educational leadership.  and others,New critical viewpoints on society series.,Revisiting diversity frameworks in higher education / Edna B. Chun and Joe R. Feagin.,,7/16/19 16:51,9/9/19 4:19,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-00-002458-X  and others,(CKB)4100000008701611;(MiAaPQ)EBC5824972,9781000024586  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Guo, Xiang-Gui, (Boca Raton, Florida ; CRC Press, [2020])",,Multiagent systems.   Motor vehicle fleets--Data processing.   Neural networks (Computer science)  and others,Automation and control engineering.,Multi-agent systems : platoon control and non-fragile quantized consensus / Xiang-Gui Guo [and three others].,,7/13/19 18:45,9/9/19 4:35,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-00-022896-7  and others,(CKB)4100000008522655;(MiAaPQ)EBC5798019,9781000228960  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Williams, Jason M. (New York ; Routledge, Taylor & Francis Group, 2020.)",,Discrimination in criminal justice administration--United States.   African American men--Social conditions.   African American prisoners.  and others,,Black males and the criminal justice system / edited by Jason M. Williams and Steven Kniffley.,,8/3/19 13:01,9/9/19 4:35,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-315-52201-2  and others,(CKB)4100000008736139;(MiAaPQ)EBC5828883,9781315522012  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Malavasic, Jolene T., (New York, New York ; Routledge, 2020.)",,Reading (Middle school)   Electronic books. ,,Collaborative learning communities in middle school literacy education : increasing student engagement with authentic literacy / Jolene T. Malavasic.,,7/6/19 13:15,9/9/19 4:48,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-75699-2  and others,(CKB)4960000000108757;(MiAaPQ)EBC5793754,9780429756993  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Hay, David, (London ; Routledge, [2020])",,Auditing.   Electronic books. ,Routledge focus on accounting and auditing.,The future of auditing / by David Hay.,,7/6/19 13:15,9/9/19 4:48,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-351-10546-9  and others,(CKB)4960000000110125;(MiAaPQ)EBC5795999,9781351105460  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Van Rythoven, Eric (London ; Routledge, Taylor & Francis Group, 2020.)",,International relations--Research--Methodology.   International relations--Psychological aspects.   Electronic books. ,Interventions (Routledge (Firm)),Methodology and emotion in international relations : parsing the passions / edited by Eric Van Rythoven and Mira Sucharov.,,7/6/19 13:15,9/9/19 4:48,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-44393-5  and others,(CKB)4960000000110045;(MiAaPQ)EBC5795798,9780429443930  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Physical;   Wilkins, Mark, ([Upper Saddle River, New Jersey] : Addison-Wesley, [2020])",,Amazon Web Services (Firm)   Web services.   Cloud computing. ,Addison-Wesley learning series.,Learning Amazon Web Services (AWS) : a hands-on guide to the fundamentals of AWS cloud / Mark Wilkins.,,9/10/19 8:26,9/10/19 8:26,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; TK5105.88813 .W54 2020  (1 copy, 0 available)
",English,9780135298343  and others,(OCoLC)1110015290;(OCoLC)on1110015290,9780135298343  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
Book - Electronic;  (Leiden CRC Press),,,,Sustainable Development Goals Connectivity Dilemma,,7/16/19 16:51,9/7/19 6:35,,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",,0-429-29062-4  and others,(CKB)4100000008710964,9780429290626  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Oriyano, Sean-Philip, (Burlington, MA : Jones & Bartlett Learning, [2020])",,Computer security.   Penetration testing (Computer security)   Computer networks--Security measures.  and others,Information systems security & assurance series,"Hacker techniques, tools, and incident handling / Sean-Philip Oriyano, Michael G. Solomon, PhD.",,9/1/18 10:45,9/5/19 17:19,Third edition.,,,,English,"Availability:Electronic version at OÕReilly for Higher Education: Full Text  
",English,1-284-14781-9  and others,(CKB)4100000005879914;(MiAaPQ)EBC5494560,9781284147810  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Yarbro, Connie Henke, (Burlington, Massachusetts : Jones & Bartlett Learning, [2020])",,Cancer--Nursing--Certification.   Tumors--Nursing.   Electronic books. ,,"Oncology nursing review / Connie Henke Yarbro, Barbara Holmes Gobel, Debra Wujcik.",,9/1/18 10:45,9/5/19 17:19,Sixth edition.,,,,English,"Availability:Electronic version at OÕReilly for Higher Education: Full Text  
",English,1-284-14493-3  and others,(CKB)4100000005879805;(MiAaPQ)EBC5493052,9781284144932  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Physical;   Thomas-EL, Salome, (Thousand Oaks, California : Corwin, [2020])",,Educational leadership--United States.   School management and organization--United States.   School environment--United States. ,,"Passionate leadership : creating a culture of success in any school / Salome Thomas-EL, Joseph Jones, T.J. Vari ; foreword by Todd Whitaker.",,9/5/19 8:57,9/11/19 12:52,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB2805 .T495 2018  (1 copy, 1 available)
",English,9781544345697  and others,40029357304;(OCoLC)1086549439;(OCoLC)on1086549439,9781544345697  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Williamson, Ronald, (New York ; Routledge, Taylor & Francis Group, 2020.)",,School improvement programs--United States.   Electronic books. ,,7 strategies for improving your school / by Ronald Williamson and Barbara R. Blackburn.,,7/16/19 16:51,9/2/19 4:44,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-42269-5  and others,(CKB)4100000008693502;(MiAaPQ)EBC5813290,9780429422690  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Tucker, Catherine (New York, New York ; Routledge, [2020])",,Children--Counseling of.   Infants--Counseling of.   Neuropsychology.  and others,,Counseling at the beginning : intervention and issues in infancy and early childhood / edited by Catherine Tucker.,,7/13/19 18:45,9/2/19 4:44,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-317-31152-3  and others,(CKB)4100000008521961;(MiAaPQ)EBC5798327,9781317311522  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Grady, James D., (New York, New York ; Routledge, 2020.)",,Organizational behavior.   Attachment behavior.   Personnel management--Psychological aspects.  and others,Routledge research in employment relations.,Workplace attachments : managing beneath the surface / James Grady [and three others].,,7/16/19 16:51,8/26/19 4:17,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-29399-2  and others,(CKB)4100000008693228;(MiAaPQ)EBC5813167,9780429293993  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Lim, Jong Seong, (Boca Raton, Florida ; CRC Press, [2020])",,Quality control.   Electronic books. ,,Quality management in engineering : a scientific and systematic approach / by Jong S. Lim.,,8/10/19 13:08,8/25/19 1:17,,,,,English,"Availability:Electronic version at PROJECTMANAGEMENTnetBASE: Full Text  
",English,1-00-044908-4  and others,(CKB)4100000008869568;(MiAaPQ)EBC5841750,9781000449082  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Messina, Michael Matthew, (Boca Raton, Florida ; CRC Press, [2020])",,Computer games--Programming--Computer programs.   GameGuru.   Electronic books. ,,An introduction to GameGuru / Michael Matthew Messina.,,8/3/19 13:01,8/25/19 1:16,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-46496-7  and others,(CKB)4100000008736793;(MiAaPQ)EBC5830867,9780429464966  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Liebowitz, Jay (Boca Raton ; CRC Press, Taylor & Francis Group, [2020])",,Decision making.   Leadership.   Electronic books. ,Data analytics applications.,Developing informed intuition for decision-making / edited by Jay Liebowitz.,,8/3/19 13:01,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-29809-9  and others,(CKB)4100000008737357;(MiAaPQ)EBC5835417,9780429298097  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Kuhn, Max, (Boca Raton, Florida ; CRC Press, [2020])",,Database management.   Electronic books. ,,"Feature engineering and selection : a practical approach for predictive models / Max Kuhn, Kjell Johnson.",,8/10/19 13:08,8/25/19 1:47,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,1-351-60946-7  and others,(CKB)4100000008780212;(MiAaPQ)EBC5838737,9781351609463  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Sinha, Adwitiya (Boca Raton, Florida ; CRC Press, [2020])",,Artificial intelligence--Medical applications.   Medical informatics.   Electronic books. ,,Smart healthcare systems / edited by Adwitiya Sinha and Megha Rathi.,,8/10/19 13:08,8/25/19 1:47,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-67028-1  and others,(CKB)4100000008780215;(MiAaPQ)EBC5838740,9780429670282  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Chaki, Jyotismita, (Boca Raton, Florida ; CRC Press, [2020])",,Computer vision.   Pattern recognition systems.   Electronic books. ,Intelligent signal processing and data analysis.,"A beginner's guide to image shape feature extraction techniques / Jyotismita Chaki, Nilanjan Dey.",,8/10/19 13:08,8/25/19 1:17,,,,,English,"Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,0-429-28779-8  and others,(CKB)4100000008780679;(MiAaPQ)EBC5839964,9780429287794  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Haug, Roger Tim, (Boca Raton, Florida ; CRC Press, [2020])",,Microbial ecology.   Electronic books. ,,Lessons in environmental microbiology / Roger Tim Haug.,,8/3/19 13:01,8/19/19 1:41,,,,,English,"Availability:Electronic version at ENVIROnetBASE: Full Text  
",English,0-429-81047-4  and others,(CKB)4100000008736502;(MiAaPQ)EBC5829890,9780429810473  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Rao-Graham, Lila, (Boca Raton, Florida ; CRC Press, [2020])",,Business intelligence.   Small business--Management.   Strategic planning.  and others,,"Business intelligence for small and medium-sized enterprises : an agile roadmap toward business sustainability / Lila Rao-Graham, Maurice L. McNaughton, Gunjan Mansingh.",,7/16/19 16:51,8/16/19 6:01,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-00-005405-5  and others,(CKB)4100000008701621;(MiAaPQ)EBC5824982,9781000054057  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Faddis, Toni, (Thousand Oaks, California : Corwin, a SAGE Company, [2020])",,Educational leadership--Moral and ethical aspects.   Educational leadership--Decision making. ,,The ethical line : 10 leadership strategies for effective decision making / Toni Faddis ; foreword by Douglas Fisher.,,8/13/19 6:50,8/15/19 13:46,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB2806 .F34 2020  (1 copy, 1 available)
",English,9781544337883  and others,(OCoLC)1100428270;(OCoLC)on1100428270,9781544337883  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Billings, Diane McGovern, (Philadelphia : Wolters Kluwer, [2020])",,"Nursing--Examinations, questions, etc.   Nursing--Examinations--Study guides.   Nursing--Licenses--Examinations--United States--Study guides.  and others",,"Lippincott Q&A review for NCLEX-RN / Diane M. Billings, Desiree Hensel.",,8/7/19 7:08,9/3/19 9:40,Thirteenth edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; RT55 .B55 2020  (1 copy, 1 available)
",English,9781975104665  and others,99981467842;(OCoLC)1057731979;(OCoLC)on1057731979,9781975104665  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;  still image; unmediated; volume By Willis, Laura M., (Philadelphia : Wolters Kluwer, [2020])",,"Clinical medicine--Handbooks, manuals, etc.   Diseases--Handbooks, manuals, etc.   Nursing--Handbooks, manuals, etc. ",,"Professional guide to diseases / clinical editor, Laura M. Willis, DNP, APRN-CNP, CMSRN, Family Nurse Practitioner, Mercy Health-Urbana Family Medicine and Pediatrics, Urbana, Ohio.",,8/7/19 8:16,8/7/19 8:16,Eleventh edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; RT65 .P69 2020  (1 copy, 0 available)
",English,9781975107727  and others,(OCoLC)1077483041;(OCoLC)on1077483041,9781975107727  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By De Chesnay, Mary, (Burlington, Massachusetts : Jones & Bartlett Learning, [2020])",,Nursing--Social aspects.   Transcultural nursing.   Nursing--Cross-cultural studies.  and others,,"Caring for the vulnerable : perspectives in nursing theory, practice, and research / Mary de Chesnay, Barbara A. Anderson.",,3/2/19 13:06,8/5/19 4:28,Fifth edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-284-14688-X  and others,(CKB)4100000007650287;(MiAaPQ)EBC5683741,9781284146882  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Beetham, Helen (New York ; Routledge, Taylor & Francis Group, 2020.)",,Computer-assisted instruction--Curricula--Planning.   Electronic books. ,,Rethinking pedagogy for a digital age : principles and practices of design / edited by Helen Beetham and Rhona Sharpe.,,7/6/19 13:15,8/5/19 4:28,Third edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-351-25278-X  and others,(CKB)4960000000110028;(MiAaPQ)EBC5795781,9781351252782  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Boswell, Carol, (Burlington, MA : Jones & Bartlett Learning, [2020])",,Nursing--Research--Methodology.   Evidence-based nursing.   Electronic books. ,,"Introduction to nursing research : incorporating evidence-based practice / edited by Carol Boswell, Sharon Cannon.",,11/14/18 2:48,8/5/19 4:28,Fifth edition.,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-284-14980-3  and others,(CKB)4100000007102051;(MiAaPQ)EBC5566681,9781284149807  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Brookhart, Susan M., (New York ; Routledge, Taylor & Francis Group, 2020.)",,Educational evaluation.   Educational tests and measurements--Evaluation.   Electronic books. ,,"Classroom assessment and educational measurement / edited by Susan M. Brookhart, James H. McMillan.",,7/16/19 16:51,8/25/19 1:14,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-01760-X  and others,(CKB)4100000008693830;(MiAaPQ)EBC5813436,9780429017605  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Sloan, Robert H., (Boca Raton, Florida ; CRC Press, [2020])",,Computer networks--Security measures--Government policy.   Computer security--Government policy.   Business--Data processing--Security measures.  and others,,"Why don't we defend better? : data breaches, risk management, and public policy / Robert H. Sloan, Richard Warner.",,7/16/19 16:51,8/25/19 1:15,,,,,English,"Availability:Electronic version at FORENSICnetBASE: Full Text  
Availability:Electronic version at COMPUTERSCIENCEnetBASE: Full Text  
",English,1-351-12730-6  and others,(CKB)4100000008693346;(MiAaPQ)EBC5813587,9781351127301  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
